,RecordID,ZipCode,City,County,State,Latitude,Longitude,TotalPopulation,MedianHomeValue,AverageMedianHomeValue,Total,Region,Coordinates,DominantDemographic,DominantDemographicPercentage
114,115,92805,ANAHEIM,ORANGE,CA,33.8328,-117.908,73736,783000.0,1209000.0,1209000.0,Northern,"(33.8328, -117.908)",White,52.1
115,116,92805,FEDERAL,ORANGE,CA,33.8328,-117.908,73736,783000.0,1209000.0,1209000.0,Northern,"(33.8328, -117.908)",White,52.1
116,117,92806,ANAHEIM,ORANGE,CA,33.8368,-117.8748,40009,888000.0,1209000.0,1209000.0,Northern,"(33.8368, -117.8748)",White,52.1
117,118,92806,SUNKIST,ORANGE,CA,33.8368,-117.8748,40009,888000.0,1209000.0,1209000.0,Northern,"(33.8368, -117.8748)",White,52.1
118,119,92807,ANAHEIM,ORANGE,CA,33.8524,-117.7957,36110,1030000.0,881000.0,881000.0,Northern,"(33.8524, -117.7957)",White,39.7
119,120,92807,ANAHEIM HILLS,ORANGE,CA,33.8524,-117.7957,36110,1030000.0,881000.0,881000.0,Northern,"(33.8524, -117.7957)",White,39.7
120,121,92808,ANAHEIM,ORANGE,CA,33.8583,-117.7423,21496,1131000.0,881000.0,881000.0,Northern,"(33.8583, -117.7423)",White,39.7
121,122,92808,ANAHEIM HILLS,ORANGE,CA,33.8583,-117.7423,21496,1131000.0,881000.0,881000.0,Northern,"(33.8583, -117.7423)",White,39.7
122,123,92821,BREA,ORANGE,CA,33.9224,-117.8932,41286,988000.0,881000.0,881000.0,Northern,"(33.9224, -117.8932)",White,39.7
123,124,92823,BREA,ORANGE,CA,33.9201,-117.8346,5626,1176000.0,881000.0,881000.0,Northern,"(33.9201, -117.8346)",White,39.7
124,125,92831,FULLERTON,ORANGE,CA,33.8798,-117.8914,36859,940000.0,881000.0,881000.0,Northern,"(33.8798, -117.8914)",White,39.7
125,126,92832,FULLERTON,ORANGE,CA,33.8673,-117.9283,25720,771000.0,881000.0,881000.0,Northern,"(33.8673, -117.9283)",White,39.7
126,127,92833,FULLERTON,ORANGE,CA,33.8737,-117.963,53188,878000.0,881000.0,881000.0,Northern,"(33.8737, -117.963)",White,39.7
127,128,92835,FULLERTON,ORANGE,CA,33.9011,-117.9135,26917,1115000.0,881000.0,881000.0,Northern,"(33.9011, -117.9135)",White,39.7
128,129,92840,GARDEN GROVE,ORANGE,CA,33.7854,-117.9318,53681,882000.0,1532000.0,1532000.0,West,"(33.7854, -117.9318)",White,76.4
129,130,92841,GARDEN GROVE,ORANGE,CA,33.7859,-117.9783,34650,865000.0,1532000.0,1532000.0,West,"(33.7859, -117.9783)",White,76.4
130,131,92843,GARDEN GROVE,ORANGE,CA,33.7645,-117.9324,48413,828000.0,1532000.0,1532000.0,West,"(33.7645, -117.9324)",White,76.4
131,132,92844,GARDEN GROVE,ORANGE,CA,33.7671,-117.971,22601,771000.0,1532000.0,1532000.0,West,"(33.7671, -117.971)",White,76.4
132,133,92845,GARDEN GROVE,ORANGE,CA,33.7834,-118.0274,15240,934000.0,1532000.0,1532000.0,West,"(33.7834, -118.0274)",White,76.4
133,134,92861,ORANGE,ORANGE,CA,33.8172,-117.8111,5864,2017000.0,681500.0,681500.0,Northern,"(33.8172, -117.8111)",Hispanic,49.6
134,135,92861,VILLA PARK,ORANGE,CA,33.8172,-117.8111,5864,2017000.0,681500.0,681500.0,Northern,"(33.8172, -117.8111)",Hispanic,49.6
135,136,92865,ORANGE,ORANGE,CA,33.829,-117.8463,21384,923000.0,1209000.0,1209000.0,Northern,"(33.829, -117.8463)",White,52.1
136,137,92866,ORANGE,ORANGE,CA,33.7845,-117.846,14966,1072000.0,1532000.0,1532000.0,Northern,"(33.7845, -117.846)",White,76.4
137,138,92867,ORANGE,ORANGE,CA,33.8107,-117.8312,44232,1068000.0,681500.0,681500.0,Northern,"(33.8107, -117.8312)",Hispanic,49.6
138,139,92867,VILLA PARK,ORANGE,CA,33.8107,-117.8312,44232,1068000.0,681500.0,681500.0,Northern,"(33.8107, -117.8312)",Hispanic,49.6
139,140,92868,ORANGE,ORANGE,CA,33.7864,-117.8763,27233,807000.0,1532000.0,1532000.0,Northern,"(33.7864, -117.8763)",White,76.4
140,141,92869,ORANGE,ORANGE,CA,33.792,-117.7993,36174,1132000.0,1532000.0,1532000.0,Northern,"(33.792, -117.7993)",White,76.4
141,142,92870,PLACENTIA,ORANGE,CA,33.8782,-117.8547,53126,976000.0,881000.0,881000.0,Northern,"(33.8782, -117.8547)",White,39.7
142,143,92886,YORBA LINDA,ORANGE,CA,33.8899,-117.8065,50764,1242000.0,881000.0,881000.0,Northern,"(33.8899, -117.8065)",White,39.7
143,144,92887,YORBA LINDA,ORANGE,CA,33.8806,-117.7416,20395,1325000.0,881000.0,881000.0,Northern,"(33.8806, -117.7416)",White,39.7
